symbol,name
JUBLFOOD.NS,Jubilant FoodWorks
INDHOTEL.NS,Indian Hotels
ZYDUSLIFE.NS,Zydus Lifesciences
MANKIND.NS,Mankind Pharma
MAXHEALTH.NS,Max Healthcare
FORTIS.NS,Fortis Healthcare
LICI.NS,Life Insurance Corp of India
IRCTC.NS,Indian Railway Catering
IRFC.NS,Indian Railway Finance Corp
RECLTD.NS,REC
PFC.NS,Power Finance Corp
CANBK.NS,Canara Bank
UNIONBANK.NS,Union Bank of India
IDEA.NS,Vodafone Idea
YESBANK.NS,Yes Bank
GMRAIRPORT.NS,GMR Airports
NHPC.NS,NHPC
SJVN.NS,SJVN
OIL.NS,Oil India
HINDPETRO.NS,Hindustan Petroleum
ABCAPITAL.NS,Aditya Birla Capital
ABFRL.NS,Aditya Birla Fashion
NYKAA.NS,FSN E-Commerce (Nykaa)
POLICYBZR.NS,PB Fintech
PAYTM.NS,One97 Communications (Paytm)
DALBHARAT.NS,Dalmia Bharat
ACC.NS,ACC
SHREECEM.NS,Shree Cement
JKCEMENT.NS,JK Cement
RAMCOCEM.NS,Ramco Cements
APLAPOLLO.NS,APL Apollo Tubes
JSWENERGY.NS,JSW Energy
TORNTPOWER.NS,Torrent Power
CGPOWER.NS,CG Power & Industrial
THERMAX.NS,Thermax
KPITTECH.NS,KPIT Technologies
TATAELXSI.NS,Tata Elxsi
LTTS.NS,L&T Technology Services
OFSS.NS,Oracle Financial Services
SONACOMS.NS,Sona BLW Precision
ESCORTS.NS,Escorts Kubota
MRF.NS,MRF
APOLLOTYRE.NS,Apollo Tyres
CEATLTD.NS,CEAT
EXIDEIND.NS,Exide Industries
GUJGASLTD.NS,Gujarat Gas
IGL.NS,Indraprastha Gas
MGL.NS,Mahanagar Gas
CONCOR.NS,Container Corp of India
GICRE.NS,General Insurance Corp
NIACL.NS,New India Assurance
STARHEALTH.NS,Star Health Insurance
LICHSGFIN.NS,LIC Housing Finance
PEL.NS,Piramal Enterprises
M&MFIN.NS,Mahindra & Mahindra Financial
SUNDARMFIN.NS,Sundaram Finance
BAJAJHLDNG.NS,Bajaj Holdings
HDFCAMC.NS,HDFC Asset Management
NAM-INDIA.NS,Nippon Life India AMC
UBL.NS,United Breweries
RADICO.NS,Radico Khaitan
VBL.NS,Varun Beverages
GLAND.NS,Gland Pharma
IPCALAB.NS,IPCA Laboratories
GLAXO.NS,GlaxoSmithKline Pharma
ABBOTINDIA.NS,Abbott India
LAURUSLABS.NS,Laurus Labs
SUVENPHAR.NS,Suven Pharmaceuticals
SYNGENE.NS,Syngene International
METROPOLIS.NS,Metropolis Healthcare
LALPATHLAB.NS,Dr Lal PathLabs
INDUSTOWER.NS,Indus Towers
HONAUT.NS,Honeywell Automation
SCHAEFFLER.NS,Schaeffler India
SKFINDIA.NS,SKF India
TIINDIA.NS,Tube Investments of India
KAJARIACER.NS,Kajaria Ceramics
CROMPTON.NS,Crompton Greaves Consumer
WHIRLPOOL.NS,Whirlpool of India
VOLTAS.NS,Voltas
BLUESTARCO.NS,Blue Star
RELAXO.NS,Relaxo Footwears
BATAINDIA.NS,Bata India
GODREJIND.NS,Godrej Industries
EMAMILTD.NS,Emami
GILLETTE.NS,Gillette India
HONASA.NS,Honasa Consumer
MEDANTA.NS,Global Health (Medanta)
KIMS.NS,Krishna Institute of Medical Sciences
RVNL.NS,Rail Vikas Nigam
NBCC.NS,NBCC India
IRB.NS,IRB Infrastructure
KEC.NS,KEC International
KALYANKJIL.NS,Kalyan Jewellers
TITAGARH.NS,Titagarh Rail Systems
BDL.NS,Bharat Dynamics
MAZDOCK.NS,Mazagon Dock Shipbuilders
COCHINSHIP.NS,Cochin Shipyard
GESHIP.NS,Great Eastern Shipping
